Index,water_solubility,nΔL,f_max
9/25,7.868452484910242,786.7800000000002,0.4341
9/26,1.0819403429479075,1103.2799999999997,0.4744
9/27,4.230488891317001,789.7800000000002,0.4451
9/28,0.7846244673703301,1491.1200000000001,0.4439
9/29,12.53956700215924,226.45999999999992,0.1259
9/30,2.282631678349107,268.5,0.6161
9/31,4.65513973559499,221.9599999999998,0.572
9/32,2.242333923447966,1061.31,0.469
9/33,2.7651587187996123,1743.3500000000001,0.2525
9/34,3.822176574404546,1036.5299999999997,0.5323
9/35,96.6103309518907,0.0,0.2699
9/36,3.6912250190051075,246.77999999999997,0.6059
9/37,1.082180720717947,1103.52,0.4741
9/38,0.13991433349179327,907.26,0.5386
9/39,1.6274094292101209,1906.02,0.3068
9/40,0.7917298731334227,339.79999999999995,0.5864
9/41,8.935077284864832,0.0,0.3909
9/42,0.10215227355135825,2264.29,0.3136
9/43,0.8299424631372387,1051.05,0.4781
9/44,4.853917652792519,1375.0,0.226
9/45,15.285787828378885,0.0,0.2822
9/46,5.891758433326578,576.6800000000001,0.3865
9/47,0.909886207376958,1488.2500000000002,0.361
9/48,6.763622743518405,353.0799999999999,0.4184
9/49,17.071727429553402,109.86000000000001,0.2782
10/0,0.23885014260943607,176.51999999999987,0.6455
10/1,5.973276248952975,1567.8,0.3414
10/2,7.575343293100205,1134.72,0.3688
10/3,2.6173711012161234,2732.5799999999995,0.2995
10/4,0.8615190707818138,1110.36,0.4859
10/5,1.0098577170708802,2830.3999999999996,0.3543
10/6,31.094701832511262,274.86,0.2593
